idx,image,exact,canonical_exact,edit_similarity,error_type,ref_len,pred_len,ref,pred,ref_canonical,pred_canonical
462,2436b34831.png,0,0,95.48,almost_correct,177,177,"\mathcalL_{\mathrmC}=-\frac{\kappa}{2}\sqrt{|\eta|}\,c_{\alpha\beta}\,\theta_{\mu}^{\alpha}(\xi)\theta_{\nu}^{\beta}(\xi)\,\eta^{ij}\,\partial_{i}\xi^{\mu}\partial_{j}\xi^{\nu},","{\calL}_{\mathrm{C}}=-\frac{\kappa}{2}\sqrt{|\eta|}\,c_{\alpha\beta}\,\theta_{\mu}^{\alpha}(\xi)\theta_{\nu}^{\beta}(\xi)\,\eta^{ij}\,\partial_{i}\xi^{\mu}\partial_{j}\xi^{\nu},","\mathcalL_\mathrmC=-\frac{\kappa}{2}\sqrt{|\eta|}c_{\alpha\beta}\theta_\mu^{\alpha}(\xi)\theta_\nu^{\beta}(\xi)\eta^{ij}\partial_{i}\xi^{\mu}\partial_{j}\xi^{\nu,","\calL_\mathrm{C=-\frac{\kappa}{2}\sqrt{|\eta|}c_{\alpha\beta}\theta_\mu^{\alpha}(\xi)\theta_\nu^{\beta}(\xi)\eta^{ij}\partial_{i}\xi^{\mu}\partial_{j}\xi^{\nu,"
463,1361cf7a00.png,0,0,95.041,almost_correct,120,121,\psi_{k}^{-}=\frac{1}{r}\left(\begin{array}{l}{F(r){\calY}_{|q|j}^{M}}\{-iG(r){\calY}_{(|q|-1)j}^{M}}\\end{array}\right),\psi_{k}^{-}=\frac{1}{r}\left(\begin{array}{l}{F(r){\calY}_{dlj}^{M}}\{-iG(r){\calY}_{(|q|-1)j}^{\mu}}\\end{array}\right),\psi_k^{-=\frac{1}{r}(\begin{array}{l}{F(r)\calY_{|q|j^{M}\{-iG(r)\calY_{(|q|-1)j^{M}\\end{array),\psi_k^{-=\frac{1}{r}(\begin{array}{l}{F(r)\calY_{dlj^{M}\{-iG(r)\calY_{(|q|-1)j^{\mu}\\end{array)
464,6e3580044c.png,0,0,97.368,almost_correct,37,38,"\left[\hat{p},\hat{W}\right]=\hat{W},","\left[\hat{p},\hat{W}\right]=\hat{W}~,","[\hat{p,\hat{W]=\hat{W,","[\hat{p,\hat{W]=\hat{W}~,"
465,48c606e1a5.png,1,1,100.0,exact,47,47,\epsilon^{mnpq}\partial_{q}(a_{mnp}-C_{mnp})=0.,\epsilon^{mnpq}\partial_{q}(a_{mnp}-C_{mnp})=0.,\epsilon^{mnpq}\partial_{q}(a_{mnp-C_{mnp)=0.,\epsilon^{mnpq}\partial_{q}(a_{mnp-C_{mnp)=0.
466,1c921ea156.png,1,1,100.0,exact,107,107,b_{l}^{n}=(-\partial_{a_{l}})(U_{l}^{n})Str\left(\ldots\phi^{j_{l}}\ldots\right)-k(A_{1}+A_{2})-nD_{l}^{n}.,b_{l}^{n}=(-\partial_{a_{l}})(U_{l}^{n})Str\left(\ldots\phi^{j_{l}}\ldots\right)-k(A_{1}+A_{2})-nD_{l}^{n}.,b_l^{n=(-\partial_{a_{l)(U_l^{n)Str(\ldots\phi^{j_{l}\ldots)-k(A_{1+A_{2)-nD_l^{n}.,b_l^{n=(-\partial_{a_{l)(U_l^{n)Str(\ldots\phi^{j_{l}\ldots)-k(A_{1+A_{2)-nD_l^{n}.
467,40c7e04212.png,1,1,100.0,exact,53,53,"\thetae_{1}=e_{2}\;,\qquad\thetae_{2}=-e_{1}-e_{2}\;.","\thetae_{1}=e_{2}\;,\qquad\thetae_{2}=-e_{1}-e_{2}\;.","\thetae_{1=e_{2,\thetae_{2=-e_{1-e_{2}.","\thetae_{1=e_{2,\thetae_{2=-e_{1-e_{2}."
468,380ca5bd47.png,0,0,97.403,almost_correct,77,75,\operatorname{ln}{\calZ}=\sum_{R}G_{_R}\operatorname{ln}\{\bar{\nu}_{_R}+1\}.,\operatorname{ln}{\calZ}=\sum_{R}G_{R}\operatorname{ln}\{\bar{\nu}_{R}+1\}.,\operatorname{ln}{\calZ=\sum_{R}G_{_R}\operatorname{ln}\\bar\nu_{_R+1\}.,\operatorname{ln}{\calZ=\sum_{R}G_{R}\operatorname{ln}\\bar\nu_{R+1\}.
469,5a64963194.png,0,0,94.783,semantic_or_token_error,115,112,"f^{\mu\nu,\lambda\sigma}=g^{\mu\lambda}\;g^{\nu\sigma}+g^{\nu\lambda}\;g^{\mu\sigma}-g^{\mu\nu}\;g^{\lambda\sigma}.","f^{\mu\nu,\lambda\sigma}=g^{\mu\lambda}~g^{\nu\sigma}+g^{\nu\lambda}~g^{\mu\sigma}-g^{\mu\nu}~g^{\lambda\sigma}.","f^{\mu\nu,\lambda\sigma=g^{\mu\lambda}g^{\nu\sigma+g^{\nu\lambda}g^{\mu\sigma-g^{\mu\nu}g^{\lambda\sigma}.","f^{\mu\nu,\lambda\sigma=g^{\mu\lambda}~g^{\nu\sigma+g^{\nu\lambda}~g^{\mu\sigma-g^{\mu\nu}~g^{\lambda\sigma}."
470,260c798a6a.png,0,1,75.556,canonical_equivalent,45,39,"t_{0}\neq0,\,\,\,\,,t_{1}=1,\,\,\,\,t_{k}=-1.","t_{0}\neq0,\;\;,t_{1}=1,\;\;\;t_{k}=-1.","t_{0}\neqq0,,t_{1=1,t_{k=-1.","t_{0}\neqq0,,t_{1=1,t_{k=-1."
471,6d9b6df843.png,1,1,100.0,exact,90,90,"\{Q_{\gamma},\overline{{Q}}_{\lambda}\}=J_{\gamma\lambda}-\delta_{\gamma\lambda}J_{\nu\nu}","\{Q_{\gamma},\overline{{Q}}_{\lambda}\}=J_{\gamma\lambda}-\delta_{\gamma\lambda}J_{\nu\nu}","\{Q_{\gamma,\overline{Q_{\lambda}\=J_{\gamma\lambda-\delta_{\gamma\lambda}J_{\nu\nu}","\{Q_{\gamma,\overline{Q_{\lambda}\=J_{\gamma\lambda-\delta_{\gamma\lambda}J_{\nu\nu}"
472,4cbc651564.png,1,1,100.0,exact,83,83,"A_{i}^{I}[A+\delta_{L}A]-A_{i}^{I}[A]=\delta_{L}A^{I}+\partial_{i}\Lambda[A^{I}]\;,","A_{i}^{I}[A+\delta_{L}A]-A_{i}^{I}[A]=\delta_{L}A^{I}+\partial_{i}\Lambda[A^{I}]\;,","A_i^{I}[A+\delta_{L}A]-A_i^{I}[A]=\delta_{L}A^{I+\partial_{i}\Lambda[A^{I],","A_i^{I}[A+\delta_{L}A]-A_i^{I}[A]=\delta_{L}A^{I+\partial_{i}\Lambda[A^{I],"
473,711e6d6d82.png,1,1,100.0,exact,131,131,"G(x,x^{\perp})=\frac{1}{(2\pi)^{5}}\intd^{4}p\,dp_{\perp}\,G(p,p_{\perp})\operatorname{exp}[\mathrm{i}(p\cdotx+p_{\perp}x^{\perp})]","G(x,x^{\perp})=\frac{1}{(2\pi)^{5}}\intd^{4}p\,dp_{\perp}\,G(p,p_{\perp})\operatorname{exp}[\mathrm{i}(p\cdotx+p_{\perp}x^{\perp})]","G(x,x^{\perp)=\frac{1}{(2\pi)^{5}\intd^{4}pdp_{\perp}G(p,p_{\perp)\operatorname{exp}[\mathrm{i}(p\cdotx+p_{\perp}x^{\perp)]","G(x,x^{\perp)=\frac{1}{(2\pi)^{5}\intd^{4}pdp_{\perp}G(p,p_{\perp)\operatorname{exp}[\mathrm{i}(p\cdotx+p_{\perp}x^{\perp)]"
474,70f72151ab.png,0,1,94.18,canonical_equivalent,189,188,"\Omega=2iJ\left[\frac{d{\bar{\xi}}\wedged\xi}{1+\mid\xi\mid^{2}}-\frac{(\xid{\bar{\xi}})\wedge({\bar{\xi}}d\xi)}{(1+\mid\xi\mid^{2})^{2}}\right],\mid\xi\mid^{2}=\sum_{p}\mid\xi_{p}\mid^{2}.","\Omega=2iJ\left[\frac{d\bar{\xi}\wedged\xi}{1+\mid\xi\mid^{2}}-\frac{(\xid\bar{\xi})\wedge(\bar{\xi}d\xi)}{(1+\mid\xi\mid^{2})^{2}}\right],\quad\mid\xi\mid^{2}=\sum_{p}\mid\xi_{p}\mid^{2}.","\Omega=2iJ[\frac{d\bar{\xi}\wedged\xi}{1+\mid\xi\mid^{2-\frac{(\xid\bar{\xi)\wedge(\bar{\xi}d\xi)}{(1+\mid\xi\mid^{2)^{2],\mid\xi\mid^{2=\sum_{p}\mid\xi_{p}\mid^{2}.","\Omega=2iJ[\frac{d\bar{\xi}\wedged\xi}{1+\mid\xi\mid^{2-\frac{(\xid\bar{\xi)\wedge(\bar{\xi}d\xi)}{(1+\mid\xi\mid^{2)^{2],\mid\xi\mid^{2=\sum_{p}\mid\xi_{p}\mid^{2}."
475,28216bc367.png,0,0,82.184,semantic_or_token_error,174,143,"\displaystyle{\left(\delta^{IJ}-\frac{(x_{a}^{I}-x_{b}^{I})(x_{a}^{J}-x_{b}^{J})}{(x_{a}-x_{b})^{2}}\right)}(\textstyle{\frac{d\,}{dt}x_{a}^{J}-\frac{d\,}{dt}x_{b}^{J}})=0\,,","\left(\delta^{IJ}-\frac{(x_{a}^{I}-x_{b}^{I})(x_{a}^{J}-x_{b}^{J})}{(x_{a}-x_{b})^{2}}\right)(\frac{d}{dt}x_{a}^{J}-\frac{d}{dt}x_{b}^{J})=0\,,","\displaystyle{(\delta^{IJ-\frac{(x_a^{I-x_b^{I)(x_a^{J-x_b^{J)}{(x_{a-x_{b)^{2)}(\textstyle\frac{d}{dt}x_a^{J-\frac{d}{dt}x_b^{J)=0,","(\delta^{IJ-\frac{(x_a^{I-x_b^{I)(x_a^{J-x_b^{J)}{(x_{a-x_{b)^{2)(\frac{d}{dt}x_a^{J-\frac{d}{dt}x_b^{J)=0,"
476,4bc7bab7e3.png,1,1,100.0,exact,54,54,\deltaL\mid_{on-shell}=\frac{d}{dt}(p_{i}\deltaq^{i});,\deltaL\mid_{on-shell}=\frac{d}{dt}(p_{i}\deltaq^{i});,\deltaL\mid_{on-shell=\frac{d}{dt}(p_{i}\deltaq^{i);,\deltaL\mid_{on-shell=\frac{d}{dt}(p_{i}\deltaq^{i);
477,3953d95512.png,0,0,97.143,almost_correct,140,137,"e\,\nabla_{\mu}\Theta_{\lambda}^{~\mu}\left(x\right)=w_{\lambda}\left(x\right)\Sigma+\nabla_{\mu}w_{\lambda}^{~\mu}\left(x\right)\Sigma\,\,,","e\,\nabla_{\mu}\Theta_{\lambda}^{~\mu}\left(x\right)=w_{\lambda}\left(x\right)\Sigma+\nabla_{\mu}w_{\lambda}^{~\mu}\left(x\right)\Sigma~,","e\nabla_{\mu}\Theta_\lambda^{~\mu}(x)=w_{\lambda}(x)\Sigma+\nabla_{\mu}w_\lambda^{~\mu}(x)\Sigma,","e\nabla_{\mu}\Theta_\lambda^{~\mu}(x)=w_{\lambda}(x)\Sigma+\nabla_{\mu}w_\lambda^{~\mu}(x)\Sigma~,"
478,4bcaa4636f.png,1,1,100.0,exact,75,75,\frac{1}{4g_{YM}^{2}}F^{2}=\frac{1}{32\pi^{2}}g_{YM}\sqrt{N}\frac{1}{r^{4}},\frac{1}{4g_{YM}^{2}}F^{2}=\frac{1}{32\pi^{2}}g_{YM}\sqrt{N}\frac{1}{r^{4}},\frac{1}{4g_{YM^{2}F^{2=\frac{1}{32\pi^{2}g_{YM}\sqrt{N}\frac{1}{r^{4},\frac{1}{4g_{YM^{2}F^{2=\frac{1}{32\pi^{2}g_{YM}\sqrt{N}\frac{1}{r^{4}
479,46f23c2ed8.png,0,0,98.049,almost_correct,205,203,"f_{n,m}(z)=\operatorname{exp}\int_{P_{0}}^{z}\omega_{n,m},\quad\omega_{n,m}(z)=\sum_{k=1}^{h}\left({\frac{\operatorname*{det}\Omega^{(2;k)}}{\operatorname*{det}\Omega^{(2)}}}+i\pin_{k}\right)\omega_{k}(z).","f_{n,m}(z)=\operatorname{exp}\int_{P_{0}}^{z}\omega_{n,m},\quad\omega_{n,m}(z)=\sum_{k=1}^{h}\left(\frac{\operatorname*{det}\Omega^{2(2k)}}{\operatorname*{det}\Omega^{(2)}}+i\pin_{k}\right)\omega_{k}(z).","f_{n,m}(z)=\operatorname{exp}\int_{P_0^{z}\omega_{n,m,\omega_{n,m}(z)=\sum_{k=1^{h}(\frac\operatorname*{det}\Omega^{(2;k)}\operatorname*{det}\Omega^{(2)+i\pin_{k)\omega_{k}(z).","f_{n,m}(z)=\operatorname{exp}\int_{P_0^{z}\omega_{n,m,\omega_{n,m}(z)=\sum_{k=1^{h}(\frac\operatorname*{det}\Omega^{2(2k)}\operatorname*{det}\Omega^{(2)+i\pin_{k)\omega_{k}(z)."
480,62aef77518.png,1,1,100.0,exact,89,89,"D^{\left[n_{+},n_{-}\right]}(\Lambda)U(\Lambda^{-1}p)=U(p)D^{\left[s\right]}(R(\Lambda,p)","D^{\left[n_{+},n_{-}\right]}(\Lambda)U(\Lambda^{-1}p)=U(p)D^{\left[s\right]}(R(\Lambda,p)","D^{[n_{+,n_{-]}(\Lambda)U(\Lambda^{-1}p)=U(p)D^{[s]}(R(\Lambda,p)","D^{[n_{+,n_{-]}(\Lambda)U(\Lambda^{-1}p)=U(p)D^{[s]}(R(\Lambda,p)"
481,7b94ad4041.png,1,1,100.0,exact,36,36,"(W\gamma_{0})^{\dagger}=W\gamma_{0},","(W\gamma_{0})^{\dagger}=W\gamma_{0},","(W\gamma_{0)^{\dagger=W\gamma_{0,","(W\gamma_{0)^{\dagger=W\gamma_{0,"
482,47b45dbfd9.png,1,1,100.0,exact,50,50,"\partial_{\mu}\partial^{\mu}\psi+2\,\mu^{2}\psi=0,","\partial_{\mu}\partial^{\mu}\psi+2\,\mu^{2}\psi=0,","\partial_{\mu}\partial^{\mu}\psi+2\mu^{2}\psi=0,","\partial_{\mu}\partial^{\mu}\psi+2\mu^{2}\psi=0,"
483,279b632007.png,0,0,64.0,missing_factorial,150,119,\Sigma\!\!\!\!\!\!\int_{x}f_{x}\overrightarrow{P\left(U_{n}\right)}g_{x}=\Sigma\!\!\!\!\!\!\int_{x}f_{x}\overleftarrow{P\left(U_{n}^{-1}\right)}g_{x}.,\underline{{f}}f_{x}\overline{{P\left(U_{n}\right)}}g_{x}=\oint_{x}f_{x}\overrightarrow{P\left(U_{n}^{-1}\right)}g_{x}.,\Sigma\int_{x}f_{x}\overrightarrow{P(U_{n)}g_{x=\Sigma\int_{x}f_{x}\overleftarrow{P(U_n^{-1)}g_{x}.,\underline{{f}f_{x}\overline{{P(U_{n)}g_{x=\oint_{x}f_{x}\overrightarrow{P(U_n^{-1)}g_{x}.
484,51ab35e0c2.png,0,0,97.959,almost_correct,49,48,"P(x,y)=P_{(\delta)}(x,y)+P_{(i\eta\sigma)}(x,y)~.","P(x,y)=P_{(\delta)}(x,y)+P_{(i\eta\sigma)}(x,y).","P(x,y)=P_{(\delta)}(x,y)+P_{(i\eta\sigma)}(x,y)~.","P(x,y)=P_{(\delta)}(x,y)+P_{(i\eta\sigma)}(x,y)."
485,6578de13bd.png,1,1,100.0,exact,47,47,"f_{ABC}=f_{mn,pq,rs}=(A\timesB)\delta_{C}^{A+B}","f_{ABC}=f_{mn,pq,rs}=(A\timesB)\delta_{C}^{A+B}","f_{ABC=f_{mn,pq,rs=(A\timesB)\delta_C^{A+B}","f_{ABC=f_{mn,pq,rs=(A\timesB)\delta_C^{A+B}"
486,23cc723843.png,1,1,100.0,exact,34,34,"\tilde{u}_{0}=-2,\qquadu=-\phi^{2}","\tilde{u}_{0}=-2,\qquadu=-\phi^{2}","\tildeu_{0=-2,u=-\phi^{2}","\tildeu_{0=-2,u=-\phi^{2}"
487,75c57c6476.png,0,0,95.833,almost_correct,96,92,"R_{\Omega}=\mathrm{diag}(\omega^{2},\omega^{2},\omega^{2},\omega^{8},\omega^{8},\omega^{5})~.~\,","R_{\Omega}=\mathrm{diag}(\omega^{2},\omega^{2},\omega^{2},\omega^{8},\omega^{8},\omega^{5}).","R_{\Omega=\mathrm{diag}(\omega^{2,\omega^{2,\omega^{2,\omega^{8,\omega^{8,\omega^{5)~.~","R_{\Omega=\mathrm{diag}(\omega^{2,\omega^{2,\omega^{2,\omega^{8,\omega^{8,\omega^{5)."
488,4ec92ec0d1.png,1,1,100.0,exact,99,99,\delta_{\xi}=\xi_{i}^{\alpha}Q_{\alpha}^{i}+\bar{\xi}_{\dot{\alpha}}^{i}\bar{Q}_{i}^{\dot{\alpha}}.,\delta_{\xi}=\xi_{i}^{\alpha}Q_{\alpha}^{i}+\bar{\xi}_{\dot{\alpha}}^{i}\bar{Q}_{i}^{\dot{\alpha}}.,\delta_{\xi=\xi_i^{\alpha}Q_\alpha^{i+\bar\xi_\dot\alpha^{i}\barQ_i^\dot{\alpha}.,\delta_{\xi=\xi_i^{\alpha}Q_\alpha^{i+\bar\xi_\dot\alpha^{i}\barQ_i^\dot{\alpha}.
489,5b0bb80629.png,1,1,100.0,exact,44,44,\hat{\phi}\rightarrowU\hat{\phi}U^{\dagger}.,\hat{\phi}\rightarrowU\hat{\phi}U^{\dagger}.,\hat{\phi}arrowU\hat{\phi}U^{\dagger}.,\hat{\phi}arrowU\hat{\phi}U^{\dagger}.
490,5fa91f4e37.png,1,1,100.0,exact,104,104,"\operatorname*{lim}_{\alpha\rightarrow+0}(x^{N}f(x),\theta(x)\operatorname{exp}\{-\alphax^{-1}\}\phi(x))","\operatorname*{lim}_{\alpha\rightarrow+0}(x^{N}f(x),\theta(x)\operatorname{exp}\{-\alphax^{-1}\}\phi(x))","\operatorname*{lim_{\alphaarrow+0}(x^{N}f(x),\theta(x)\operatorname{exp}\{-\alphax^{-1}\}\phi(x))","\operatorname*{lim_{\alphaarrow+0}(x^{N}f(x),\theta(x)\operatorname{exp}\{-\alphax^{-1}\}\phi(x))"
491,6ea0ff27f0.png,1,1,100.0,exact,44,44,"Q_{\mathrm{NA}}=\mathrm{diag}\,(-1,0,1,0)\,.","Q_{\mathrm{NA}}=\mathrm{diag}\,(-1,0,1,0)\,.","Q_\mathrm{NA=\mathrm{diag}(-1,0,1,0).","Q_\mathrm{NA=\mathrm{diag}(-1,0,1,0)."
492,2783704ba9.png,1,1,100.0,exact,54,54,t^{\sigma}y=w^{2}w^{1}z^{\sigma}+D_{\mu}j^{\mu\sigma}.,t^{\sigma}y=w^{2}w^{1}z^{\sigma}+D_{\mu}j^{\mu\sigma}.,t^{\sigma}y=w^{2}w^{1}z^{\sigma+D_{\mu}j^{\mu\sigma}.,t^{\sigma}y=w^{2}w^{1}z^{\sigma+D_{\mu}j^{\mu\sigma}.
493,66e8c1de7d.png,1,1,100.0,exact,81,81,"S_{BI}=-\intdtd^{d}rdz\sqrt{-\eta^{AB}\partial_{A}\alpha\cdot\partial_{B}\alpha},","S_{BI}=-\intdtd^{d}rdz\sqrt{-\eta^{AB}\partial_{A}\alpha\cdot\partial_{B}\alpha},","S_{BI=-\intdtd^{d}rdz\sqrt{-\eta^{AB}\partial_{A}\alpha\cdot\partial_{B}\alpha,","S_{BI=-\intdtd^{d}rdz\sqrt{-\eta^{AB}\partial_{A}\alpha\cdot\partial_{B}\alpha,"
494,3a330f2e45.png,0,0,96.269,almost_correct,134,132,"G_{\tilde{\lambda}}(l_{1},l_{2};t_{1}+t_{2})=\sum_{l=1}^{\infty}G_{\tilde{\lambda}}(l_{1},l;t_{1})lG_{\tilde{\lambda}}(l,l_{2};t_{2}),","G_{\tilde{\lambda}}(l_{1},l_{2};t_{1}+t_{2})=\sum_{l=1}^{\infty}G_{\tilde{\lambda}}(l_{1},l;t_{1})lG_{\bar{\lambda}}(l,l_{2};t_{2}),","G_\tilde{\lambda}(l_{1,l_{2};t_{1+t_{2)=\sum_{l=1^{\infty}G_\tilde{\lambda}(l_{1,l;t_{1)lG_\tilde{\lambda}(l,l_{2};t_{2),","G_\tilde{\lambda}(l_{1,l_{2};t_{1+t_{2)=\sum_{l=1^{\infty}G_\tilde{\lambda}(l_{1,l;t_{1)lG_\bar{\lambda}(l,l_{2};t_{2),"
495,40f64360db.png,0,0,83.459,semantic_or_token_error,133,120,"S_{T}[\overline{{\psi}},\psi]=\frac{1}{2}\;g\;\intd^{2}x\;\sum_{b=1}^{N}{j^{(b)}}_{\mu}^{T}(x)\sum_{c=1}^{N}{j^{(c)}}_{\mu}^{T}(x)\;,","S_{T}[\overline{{\psi}},\psi]={\frac{1}{2}}~g~\intd^{2}x~\sum_{b=1}^{N}j^{(b)T}(x)\sum_{c=1}^{N}j^{(c)}{}_{\mu}^{T}(x)~,","S_{T}[\overline{{\psi,\psi]=\frac{1}{2}g\intd^{2}x\sum_{b=1^{N}{j^{(b)_\mu^{T}(x)\sum_{c=1^{N}{j^{(c)_\mu^{T}(x),","S_{T}[\overline{{\psi,\psi]=\frac{1}{2}~g~\intd^{2}x~\sum_{b=1^{N}j^{(b)T}(x)\sum_{c=1^{N}j^{(c)}{_\mu^{T}(x)~,"
496,2a62946cb1.png,0,0,93.182,semantic_or_token_error,44,43,d{\hat{s}}^{2}=Hdy^{2}\pm2dydt+dx^{i}dx^{i}.,d\hat{s}^{2}=Hdy^{2}\pm2dydt+dx^{i}dx^{i}~.,d\hats^{2=Hdy^{2}\pm2dydt+dx^{i}dx^{i}.,d\hats^{2=Hdy^{2}\pm2dydt+dx^{i}dx^{i}~.
497,29f41e359c.png,0,1,95.604,canonical_equivalent,87,91,T(\Phi)=\left(1-\frac{\mu_{ren}^{2}}{1-a}\right)\Phi-\frac{\lambda_{ren}}{1-a}\Phi^{3}.,T(\Phi)=\left(1-{\frac{\mu_{ren}^{2}}{1-a}}\right)\Phi-{\frac{\lambda_{ren}}{1-a}}\Phi^{3}.,T(\Phi)=(1-\frac{\mu_{ren^{2}{1-a)\Phi-\frac{\lambda_{ren}{1-a}\Phi^{3}.,T(\Phi)=(1-\frac{\mu_{ren^{2}{1-a)\Phi-\frac{\lambda_{ren}{1-a}\Phi^{3}.
498,e0d14c459c.png,1,1,100.0,exact,76,76,T_{cs}\sim\frac{1}{g_{s}M}\left(\frac{\rho_{K}}{\alpha^{\prime}}\right)^{2}.,T_{cs}\sim\frac{1}{g_{s}M}\left(\frac{\rho_{K}}{\alpha^{\prime}}\right)^{2}.,T_{cs}\sim\frac{1}{g_{s}M}(\frac{\rho_{K}{\alpha^{\prime)^{2}.,T_{cs}\sim\frac{1}{g_{s}M}(\frac{\rho_{K}{\alpha^{\prime)^{2}.
499,37a317cad2.png,0,1,93.939,canonical_equivalent,99,93,"S\left(\Delta\right)_{MN}=-\delta_{M}\Delta_{N}+\delta_{N}\Delta_{M}\mpC_{MN}^{\;K}\,\Delta_{K}\;\;",S\left(\Delta\right)_{MN}=-\delta_{M}\Delta_{N}+\delta_{N}\Delta_{M}\mpC_{MN}^{\;K}\Delta_{K},S(\Delta)_{MN=-\delta_{M}\Delta_{N+\delta_{N}\Delta_{M}\mpC_{MN^{K}\Delta_{K},S(\Delta)_{MN=-\delta_{M}\Delta_{N+\delta_{N}\Delta_{M}\mpC_{MN^{K}\Delta_{K}
500,56a999171e.png,1,1,100.0,exact,52,52,"V_{R}^{(N)}(g,x)=-2\frac{d}{dx}A_{R}^{(N)}(\nu;x,x).","V_{R}^{(N)}(g,x)=-2\frac{d}{dx}A_{R}^{(N)}(\nu;x,x).","V_R^{(N)}(g,x)=-2\frac{d}{dx}A_R^{(N)}(\nu;x,x).","V_R^{(N)}(g,x)=-2\frac{d}{dx}A_R^{(N)}(\nu;x,x)."
501,3be0e07344.png,0,0,87.838,semantic_or_token_error,65,74,"\bar{B}(r)=[1+o(1)]\operatorname{ln}r,\quad\mathrm{as}r\to\infty.","\bar{B}(r)=[1+o(1)]\operatorname{ln}r,\quad\mathrm{as~}r\rightarrow\infty.","\bar{B}(r)=[1+o(1)]\operatorname{ln}r,\mathrm{as}r\rightarrow\infty.","\bar{B}(r)=[1+o(1)]\operatorname{ln}r,\mathrm{as~}rarrow\infty."
502,4879d24b03.png,1,1,100.0,exact,121,121,\hat{\Phi}(z)_{ij}=A_{ij}\operatorname{exp}\left(\frac{i}{2\pi\alpha^{\prime}}(y_{i}^{I}-y_{j}^{I})g_{IJ}X^{J}(z)\right).,\hat{\Phi}(z)_{ij}=A_{ij}\operatorname{exp}\left(\frac{i}{2\pi\alpha^{\prime}}(y_{i}^{I}-y_{j}^{I})g_{IJ}X^{J}(z)\right).,\hat{\Phi}(z)_{ij=A_{ij}\operatorname{exp}(\frac{i}{2\pi\alpha^{\prime}(y_i^{I-y_j^{I)g_{IJ}X^{J}(z)).,\hat{\Phi}(z)_{ij=A_{ij}\operatorname{exp}(\frac{i}{2\pi\alpha^{\prime}(y_i^{I-y_j^{I)g_{IJ}X^{J}(z)).
503,13fb8475ca.png,0,1,94.286,canonical_equivalent,35,33,180g_{2}{\rho}^{2}+24g_{1}\rho+1=0.,180g_{2}\rho^{2}+24g_{1}\rho+1=0.,180g_{2}\rho^{2+24g_{1}\rho+1=0.,180g_{2}\rho^{2+24g_{1}\rho+1=0.
504,745cccde5b.png,0,0,86.885,semantic_or_token_error,61,57,"Q(G^{*},{\calR})=\bigsqcup_{\alpha\inA}Q_{\alpha}(G,{\calR}).","Q(G^{*},{\calR})=\prod_{\alpha\inA}Q_{\alpha}(G,{\calR}).","Q(G^{*,{\calR)=\bigsqcup_{\alpha\inA}Q_{\alpha}(G,{\calR).","Q(G^{*,{\calR)=\prod_{\alpha\inA}Q_{\alpha}(G,{\calR)."
505,361cc899df.png,1,1,100.0,exact,67,67,0=P_{\mu}P_{\mu}\psi^{(j)}\psi^{(j)}+m^{2}c^{2}\psi^{(j)}\psi^{(j)},0=P_{\mu}P_{\mu}\psi^{(j)}\psi^{(j)}+m^{2}c^{2}\psi^{(j)}\psi^{(j)},0=P_{\mu}P_{\mu}\psi^{(j)}\psi^{(j)+m^{2}c^{2}\psi^{(j)}\psi^{(j)},0=P_{\mu}P_{\mu}\psi^{(j)}\psi^{(j)+m^{2}c^{2}\psi^{(j)}\psi^{(j)}
506,38da3bad29.png,1,1,100.0,exact,117,117,ds_{10}^{2}=\Lambda^{\frac{1}{2}}(-dt^{2}+d\rho^{2}+dy_{i}dy^{i})+\Lambda^{-\frac{1}{2}}\rho^{2}d\widetilde{\phi}^{2},ds_{10}^{2}=\Lambda^{\frac{1}{2}}(-dt^{2}+d\rho^{2}+dy_{i}dy^{i})+\Lambda^{-\frac{1}{2}}\rho^{2}d\widetilde{\phi}^{2},ds_{10^{2=\Lambda^\frac{1}{2}(-dt^{2+d\rho^{2+dy_{i}dy^{i)+\Lambda^{-\frac{1}{2}\rho^{2}d\widetilde\phi^{2},ds_{10^{2=\Lambda^\frac{1}{2}(-dt^{2+d\rho^{2+dy_{i}dy^{i)+\Lambda^{-\frac{1}{2}\rho^{2}d\widetilde\phi^{2}
507,77a54b6e1c.png,0,0,86.667,semantic_or_token_error,30,26,"Q_{+}{v}={v}^{\dagger}Q_{-}=0,","Q_{+}v=v^{\dagger}Q_{-}=0,","Q_{+}{v=v^{\dagger}Q_{-=0,","Q_{+}v=v^{\dagger}Q_{-=0,"
508,38b8da555e.png,0,1,97.849,canonical_equivalent,93,93,"\delta_{\epsilon}Q^{a}=R_{\;b}^{a}\left(Q\right)Z_{\;b_{1}}^{b}\overline{{\epsilon}}^{b_{1}},","\delta_{\epsilon}Q^{a}=R_{\,b}^{a}\left(Q\right)Z_{\,b_{1}}^{b}\overline{{\epsilon}}^{b_{1}},","\delta_{\epsilon}Q^{a=R_b^{a}(Q)Z_{b_1^{b}\overline{\epsilon^{b_{1,","\delta_{\epsilon}Q^{a=R_b^{a}(Q)Z_{b_1^{b}\overline{\epsilon^{b_{1,"
